time,pitch,yaw
0.0,-0.33,1.5500000000000003
0.1,-0.3300569329660239,1.5500000000000003
0.2,-0.34445205778379084,1.554452057783791
0.30000000000000004,-0.35,1.5500000000000003
0.4,-0.36,1.5399999999999996
0.5,-0.36,1.5500000000000003
0.6000000000000001,-0.35,1.5500000000000003
0.7000000000000001,-0.34,1.5399999999999996
0.8,-0.303084257506086,1.5399999999999996
0.9,-0.25,1.5299999999999998
1.0,-0.17787937919767646,1.511151751679071
1.1,-0.11,1.4700000000000002
1.2000000000000002,-0.056294991364421336,1.4125899827288428
1.3,-0.05402157506880943,1.3959784249311906
1.4000000000000001,-0.07444601883170314,1.3900000000000001
1.5,-0.08,1.3900000000000001
1.6,-0.08,1.393028066099599
1.7000000000000002,-0.08,1.4
1.8,-0.08,1.4100000000000006
1.9000000000000001,-0.07,1.4100000000000006
2.0,-0.07,1.4
2.1,-0.07,1.4
2.2,-0.06,1.3900000000000001
2.3000000000000003,-0.06,1.3800000000000003
2.4000000000000004,-0.06,1.3800000000000003
2.5,-0.06,1.3800000000000003
2.6,-0.06,1.3800000000000003
2.7,-0.06,1.3900000000000001
2.8000000000000003,-0.06,1.3800000000000003
2.9000000000000004,-0.06,1.3800000000000003
3.0,-0.06,1.3800000000000003
3.1,-0.06,1.3800000000000003
3.2,-0.06,1.3699999999999997
3.3000000000000003,-0.06,1.3756819962878946
3.4000000000000004,-0.06,1.3699999999999997
3.5,-0.06,1.3699999999999997
3.6,-0.06,1.3800000000000003
3.7,-0.06,1.3800000000000003
3.8000000000000003,-0.06,1.3800000000000003
3.9000000000000004,-0.06,1.3800000000000003
4.0,-0.06,1.3800000000000003
4.1000000000000005,-0.06,1.3800000000000003
4.2,-0.06,1.3800000000000003
4.3,-0.06,1.3800000000000003
4.4,-0.06,1.3800000000000003
4.5,-0.06,1.3699999999999997
4.6000000000000005,-0.07,1.3800000000000003
4.7,-0.07,1.3800000000000003
4.800000000000001,-0.0646208038025716,1.3746208038025716
4.9,-0.06625410276302425,1.3699999999999997
5.0,-0.06,1.3699999999999997
5.1000000000000005,-0.06,1.3699999999999997
5.2,-0.06,1.3699999999999997
5.300000000000001,-0.06,1.3699999999999997
5.4,-0.06,1.3599999999999999
5.5,-0.06,1.3599999999999999
5.6000000000000005,-0.06,1.3599999999999999
5.7,-0.06,1.3599999999999999
5.800000000000001,-0.06,1.3599999999999999
5.9,-0.06,1.3599999999999999
6.0,-0.06,1.3599999999999999
6.1000000000000005,-0.06,1.3599999999999999
6.2,-0.06,1.365162860351928
6.300000000000001,-0.06,1.3699999999999997
6.4,-0.06,1.3699999999999997
6.5,-0.06,1.3699999999999997
6.6000000000000005,-0.05,1.3699999999999997
6.7,-0.05,1.3699999999999997
6.800000000000001,-0.05,1.3699999999999997
6.9,-0.05,1.366685680155293
7.0,-0.05,1.3699999999999997
7.1000000000000005,-0.05,1.3699999999999997
7.2,-0.05,1.3699999999999997
7.300000000000001,-0.05,1.3699999999999997
7.4,-0.05,1.3699999999999997
7.5,-0.05,1.3699999999999997
7.6000000000000005,-0.05455539390733159,1.3654446060926682
7.7,-0.06,1.3599999999999999
7.800000000000001,-0.05,1.3599999999999999
7.9,-0.06,1.3599999999999999
8.0,-0.06,1.35
8.1,-0.06432918043902021,1.35
8.200000000000001,-0.07,1.3400000000000003
8.3,-0.08,1.337016193730501
8.4,-0.07,1.3300000000000005
8.5,-0.07,1.31
8.6,-0.06569590899146827,1.31
8.700000000000001,-0.06580309544281995,1.3041969045571802
8.8,-0.06,1.31
8.9,-0.06,1.31
9.0,-0.06,1.31
9.1,-0.06392846709235858,1.3060715329076416
9.200000000000001,-0.07,1.3000000000000003
9.3,-0.05447102636675059,1.3072355131833755
9.4,-0.01,1.2899999999999996
9.5,0.1,1.2400000000000007
9.600000000000001,0.10218811796062127,1.2160940589803109
9.700000000000001,0.052316192095196834,1.182316192095197
9.8,0.0347146932952919,1.1600000000000006
9.9,0.01,1.15
10.0,0.0,1.1300000000000003
10.100000000000001,0.023708138048572944,1.112583723902854
10.200000000000001,0.03724143692564861,1.075517126148703
10.3,0.07,0.98
10.4,0.08,0.81
10.5,0.09332642734770331,0.7400207179568902
10.600000000000001,0.09346718372112474,0.6930656325577507
10.700000000000001,0.1,0.6450887856036224
10.8,0.09,0.6000000000000001
10.9,0.07,0.5700000000000003
11.0,0.053061330336690006,0.5495919955050351
11.100000000000001,0.03,0.5001443504230936
11.200000000000001,0.03,0.45531396940658186
11.3,0.03,0.41000000000000014
11.4,0.06,0.38000000000000034
11.5,0.08945730050234797,0.35054269949765227
11.600000000000001,0.18315763156798273,0.3036847368640346
11.700000000000001,0.2167074983647509,0.26552833442349943
11.8,0.26,0.2200000000000002
11.9,0.3064652514753815,0.19353474852461866
12.0,0.32,0.15697255790533732
12.100000000000001,0.3178658700522773,0.13786587005227743
12.200000000000001,0.29,0.1200000000000001
12.3,0.25,0.10000000000000009
12.4,0.23373543645814657,0.08000000000000007
12.5,0.2039181643692199,0.06695908218461016
12.600000000000001,0.1779673462078018,0.050000000000000266
12.700000000000001,0.15,0.040000000000000036
12.8,0.16,0.0
12.9,0.16,-0.012740791385351741
13.0,0.16,-0.027204683880929656
13.100000000000001,0.16,-0.01808065187652372
13.200000000000001,0.17,-0.010000000000000231
13.3,0.19,-4.440892098500626e-16
13.4,0.21,-4.440892098500626e-16
13.5,0.21261937302468606,-0.010000000000000231
13.600000000000001,0.22,-0.002728368169809938
13.700000000000001,0.22,-4.440892098500626e-16
13.8,0.22,-4.440892098500626e-16
13.9,0.23,-4.440892098500626e-16
14.0,0.2425669858561012,0.0
14.100000000000001,0.2536768649020284,0.010000000000000231
14.200000000000001,0.26731021897810303,0.010000000000000231
14.3,0.28,0.010000000000000231
14.4,0.29,0.010000000000000231
14.5,0.2915036242736476,0.010000000000000231
14.600000000000001,0.3,0.010000000000000231
14.700000000000001,0.29,0.0
14.8,0.29,-0.00234907407407475
14.9,0.29,-0.011497316583216085
15.0,0.28,-0.03999999999999959
15.100000000000001,0.24,-0.10999999999999988
15.200000000000001,0.21425099914359075,-0.1414980017128177
15.3,0.20640609273300656,-0.17718781453398708
15.4,0.2,-0.19999999999999973
15.5,0.2,-0.19999999999999973
15.600000000000001,0.2,-0.19999999999999973
15.700000000000001,0.19,-0.19999999999999973
15.8,0.19,-0.19337911469356456
15.9,0.19,-0.18000000000000016
16.0,0.19,-0.14709860609189465
16.1,0.2,-0.10999999999999988
16.2,0.21,-0.06723864321841182
16.3,0.22,-0.020000000000000018
16.400000000000002,0.23660085643452902,0.006600856434529187
16.5,0.24,0.03000000000000025
16.6,0.2625359205359226,0.05626796026796142
16.7,0.27,0.0900000000000003
16.8,0.28625416155598365,0.11250832311196747
16.900000000000002,0.29,0.1499999999999999
17.0,0.29697222416894414,0.18302777583105592
17.1,0.2678638343576568,0.18893191717882837
17.2,0.23,0.16999999999999993
17.3,0.21,0.16999999999999993
17.400000000000002,0.17,0.18000000000000016
17.5,0.13664873994399726,0.20335126005600287
